film,year,sag_nominee_CAST IN A MOTION PICTURE,sag_nominee_LEADING ROLE - FEMALE,sag_nominee_SUPPORTING ROLE - FEMALE,sag_nominee_LEADING ROLE - MALE,sag_nominee_MALE SUPPORT IN A MOTION PICTURE ,sag_nominee_SUPPORTING ROLE - MALE,sag_winner_CAST IN A MOTION PICTURE,sag_winner_LEADING ROLE - FEMALE,sag_winner_SUPPORTING ROLE - FEMALE,sag_winner_LEADING ROLE - MALE,sag_winner_MALE SUPPORT IN A MOTION PICTURE ,sag_winner_SUPPORTING ROLE - MALE,imdb_id
FLIGHT,2013 - 19th Annual,0,0,0,1,0,0,0,0,0,0,0,0,1907668
FORREST GUMP,1995 - 1st Annual,0,0,1,1,0,0,0,0,0,1,0,0,0109830
FOXCATCHER,2015 - 21st Annual,0,0,0,1,0,1,0,0,0,0,0,0,1100089
FRIDA,2003 - 9th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0120679
FROST/NIXON,2009 - 15th Annual,1,0,0,1,0,0,0,0,0,0,0,0,0870111
FROZEN RIVER,2009 - 15th Annual,0,1,0,0,0,0,0,0,0,0,0,0,0978759
GANGS OF NEW YORK,2003 - 9th Annual,0,0,0,1,0,0,0,0,0,1,0,0,0217505
GEORGIA,1996 - 2nd Annual,0,0,1,0,0,0,0,0,0,0,0,0,10813940
GET LOW,2011 - 17th Annual,0,0,0,1,0,0,0,0,0,0,0,0,1194263
GET OUT,2018 - 24th Annual,1,0,0,0,0,0,0,0,0,0,0,0,5052448
GET SHORTY,1996 - 2nd Annual,1,0,0,0,0,0,0,0,0,0,0,0,0113161
"GIRL, INTERRUPTED",2000 - 6th Annual,0,0,1,0,0,0,0,0,1,0,0,0,0172493
GLADIATOR,2001 - 7th Annual,1,0,0,1,0,0,0,0,0,0,0,0,0172495
GODS AND MONSTERS,1999 - 5th Annual,0,0,1,1,0,0,0,0,0,0,0,0,0120684
GONE BABY GONE,2008 - 14th Annual,0,0,1,0,0,0,0,0,0,0,0,0,0452623
GONE GIRL,2015 - 21st Annual,0,1,0,0,0,0,0,0,0,0,0,0,2267998
