film,year,sag_nominee_CAST IN A MOTION PICTURE,sag_nominee_LEADING ROLE - FEMALE,sag_nominee_SUPPORTING ROLE - FEMALE,sag_nominee_LEADING ROLE - MALE,sag_nominee_MALE SUPPORT IN A MOTION PICTURE ,sag_nominee_SUPPORTING ROLE - MALE,sag_winner_CAST IN A MOTION PICTURE,sag_winner_LEADING ROLE - FEMALE,sag_winner_SUPPORTING ROLE - FEMALE,sag_winner_LEADING ROLE - MALE,sag_winner_MALE SUPPORT IN A MOTION PICTURE ,sag_winner_SUPPORTING ROLE - MALE,imdb_id
GANGS OF NEW YORK,2003 - 9th Annual,0,0,0,1,0,0,0,0,0,1,0,0,217505
GEORGIA,1996 - 2nd Annual,0,0,1,0,0,0,0,0,0,0,0,0,10813940
GET LOW,2011 - 17th Annual,0,0,0,1,0,0,0,0,0,0,0,0,1194263
GET OUT,2018 - 24th Annual,1,0,0,0,0,0,0,0,0,0,0,0,5052448
GET SHORTY,1996 - 2nd Annual,1,0,0,0,0,0,0,0,0,0,0,0,113161
"GIRL, INTERRUPTED",2000 - 6th Annual,0,0,1,0,0,0,0,0,1,0,0,0,172493
GLADIATOR,2001 - 7th Annual,1,0,0,1,0,0,0,0,0,0,0,0,172495
GODS AND MONSTERS,1999 - 5th Annual,0,0,1,1,0,0,0,0,0,0,0,0,120684
GONE BABY GONE,2008 - 14th Annual,0,0,1,0,0,0,0,0,0,0,0,0,452623
GONE GIRL,2015 - 21st Annual,0,1,0,0,0,0,0,0,0,0,0,0,2267998
"GOOD NIGHT, AND GOOD LUCK.",2006 - 12th Annual,1,0,0,1,0,0,0,0,0,0,0,0,433383
GOOD WILL HUNTING,1998 - 4th Annual,1,0,1,1,0,0,0,0,0,0,0,0,119217
GOSFORD PARK,2002 - 8th Annual,1,0,1,0,0,0,1,0,1,0,0,0,280707
GRAVITY,2014 - 20th Annual,0,1,0,0,0,0,0,0,0,0,0,0,1454468
GREEN BOOK,2019 - 25th Annual,0,0,0,1,1,0,0,0,0,0,1,0,6966692
HAIRSPRAY,2008 - 14th Annual,1,0,0,0,0,0,0,0,0,0,0,0,427327
HALF NELSON,2007 - 13th Annual,0,0,0,1,0,0,0,0,0,0,0,0,468489
HIDDEN FIGURES,2017 - 23rd Annual,1,0,0,0,0,0,1,0,0,0,0,0,4846340
HILARY AND JACKIE,1999 - 5th Annual,0,1,1,0,0,0,0,0,0,0,0,0,150915
HITCHCOCK,2013 - 19th Annual,0,1,0,0,0,0,0,0,0,0,0,0,975645
HOTEL RWANDA,2005 - 11th Annual,1,0,1,1,0,0,0,0,0,0,0,0,395169
HOUSE OF SAND AND FOG,2004 - 10th Annual,0,0,0,1,0,0,0,0,0,0,0,0,315983
HOW TO MAKE AN AMERICAN QUILT,1996 - 2nd Annual,1,0,0,0,0,0,0,0,0,0,0,0,113347
HUSTLE & FLOW,2006 - 12th Annual,1,0,0,0,0,0,0,0,0,0,0,0,410097
I AM SAM,2002 - 8th Annual,0,0,1,1,0,0,0,0,0,0,0,0,277027
I'M NOT THERE,2008 - 14th Annual,0,0,1,0,0,0,0,0,0,0,0,0,368794
IN AMERICA,2004 - 10th Annual,1,0,0,0,0,0,0,0,0,0,0,0,87843
IN THE BEDROOM,2002 - 8th Annual,1,1,0,1,0,0,0,0,0,0,0,0,247425
INGLOURIOUS BASTERDS,2010 - 16th Annual,1,0,1,0,0,0,1,0,0,0,0,0,361748
INTO THE WILD,2008 - 14th Annual,1,0,1,1,0,0,0,0,0,0,0,0,758758
INTO THE WOODS,2015 - 21st Annual,0,0,1,0,0,0,0,0,0,0,0,0,2180411
INVICTUS,2010 - 16th Annual,0,0,0,1,0,0,0,0,0,0,0,0,1057500
IRIS,2002 - 8th Annual,0,1,0,0,0,0,0,0,0,0,0,0,280778
J. EDGAR,2012 - 18th Annual,0,0,0,1,0,0,0,0,0,0,0,0,1616195
JACKIE BROWN,1998 - 4th Annual,0,1,0,0,0,0,0,0,0,0,0,0,119396
JERRY MAGUIRE,1997 - 3rd Annual,0,0,1,1,0,0,0,0,0,0,0,0,116695
JULIE & JULIA,2010 - 16th Annual,0,1,0,0,0,0,0,0,0,0,0,0,1135503
JUNEBUG,2006 - 12th Annual,0,0,1,0,0,0,0,0,0,0,0,0,418773
JUNO,2008 - 14th Annual,0,1,0,0,0,0,0,0,0,0,0,0,467406
KINSEY,2005 - 11th Annual,0,0,1,0,0,0,0,0,0,0,0,0,362269
L.A. CONFIDENTIAL,1998 - 4th Annual,1,0,1,0,0,0,0,0,1,0,0,0,119488
LA VIE EN ROSE,2008 - 14th Annual,0,1,0,0,0,0,0,0,0,0,0,0,136603
LADY BIRD,2018 - 24th Annual,1,0,0,0,0,0,0,0,0,0,0,0,4925292
LARS AND THE REAL GIRL,2008 - 14th Annual,0,0,0,1,0,0,0,0,0,0,0,0,805564
LEAVING LAS VEGAS,1996 - 2nd Annual,0,1,0,1,0,0,0,0,0,1,0,0,113627
LEE DANIELS' THE BUTLER,2014 - 20th Annual,1,0,1,1,0,0,0,0,0,0,0,0,3127376
LES MISÉRABLES,2013 - 19th Annual,1,0,1,1,0,0,0,0,1,0,0,0,1707386
LIFE AS A HOUSE,2002 - 8th Annual,0,0,0,1,0,0,0,0,0,0,0,0,264796
LIFE IS BEAUTIFUL,1999 - 5th Annual,1,0,0,1,0,0,0,0,0,1,0,0,118799
LINCOLN,2013 - 19th Annual,1,0,1,1,0,0,0,0,0,1,0,0,443272
LITTLE CHILDREN,2007 - 13th Annual,0,1,0,0,0,0,0,0,0,0,0,0,404203
LITTLE MISS SUNSHINE,2007 - 13th Annual,1,0,1,0,0,0,1,0,0,0,0,0,449059
LITTLE VOICE,1999 - 5th Annual,1,1,1,0,0,0,0,0,0,0,0,0,147004
LORD OF THE RINGS: THE FELLOWSHIP OF THE RING,2002 - 8th Annual,1,0,0,0,0,0,0,0,0,0,0,0,120737
LORD OF THE RINGS: THE RETURN OF THE KING,2004 - 10th Annual,1,0,0,0,0,0,1,0,0,0,0,0,167260
LORD OF THE RINGS: THE TWO TOWERS,2003 - 9th Annual,1,0,0,0,0,0,0,0,0,0,0,0,167261
LOST IN TRANSLATION,2004 - 10th Annual,0,0,0,1,0,0,0,0,0,0,0,0,335266
MAGNOLIA,2000 - 6th Annual,1,0,1,0,0,0,0,0,0,0,0,0,175880
MAN ON THE MOON,2000 - 6th Annual,0,0,0,1,0,0,0,0,0,0,0,0,125664
MANCHESTER BY THE SEA,2017 - 23rd Annual,1,0,0,0,0,0,0,0,0,0,0,0,4034228
MARIA FULL OF GRACE,2005 - 11th Annual,0,1,0,0,0,0,0,0,0,0,0,0,390221
MARVIN'S ROOM,1997 - 3rd Annual,1,1,1,0,0,0,0,0,0,0,0,0,116999
MARY POPPINS RETURNS,2019 - 25th Annual,0,1,0,0,0,0,0,0,0,0,0,0,5028340
MARY QUEEN OF SCOTS,2019 - 25th Annual,0,0,1,0,0,0,0,0,0,0,0,0,2328900
MEMOIRS OF A GEISHA,2006 - 12th Annual,0,1,0,0,0,0,0,0,0,0,0,0,397535
MICHAEL CLAYTON,2008 - 14th Annual,0,0,1,1,0,0,0,0,0,0,0,0,465538
MIDNIGHT IN PARIS,2012 - 18th Annual,1,0,0,0,0,0,0,0,0,0,0,0,1605783
MIGHTY APHRODITE,1996 - 2nd Annual,0,0,1,0,0,0,0,0,0,0,0,0,113819
MILK,2009 - 15th Annual,1,0,0,1,0,0,0,0,0,1,0,0,1013753
MILLION DOLLAR BABY,2005 - 11th Annual,1,1,0,0,0,0,0,1,0,0,0,0,405159
MONEYBALL,2012 - 18th Annual,0,0,0,1,0,0,0,0,0,0,0,0,1210166
MONSTER,2004 - 10th Annual,0,1,0,0,0,0,0,1,0,0,0,0,23736044
MONSTER'S BALL,2002 - 8th Annual,0,1,0,0,0,0,0,1,0,0,0,0,285742
MOONLIGHT,2017 - 23rd Annual,1,0,0,0,0,0,0,0,0,0,0,0,4975722
MOULIN ROUGE,2002 - 8th Annual,1,0,0,0,0,0,0,0,0,0,0,0,203009
MRS. BROWN,1998 - 4th Annual,0,1,0,0,0,0,0,0,0,0,0,0,119280
MRS. HENDERSON PRESENTS,2006 - 12th Annual,0,1,0,0,0,0,0,0,0,0,0,0,413015
MUDBOUND,2018 - 24th Annual,1,0,0,0,0,0,0,0,0,0,0,0,2396589
MUSIC OF THE HEART,2000 - 6th Annual,0,1,0,0,0,0,0,0,0,0,0,0,166943
MY BIG FAT GREEK WEDDING,2003 - 9th Annual,1,0,0,0,0,0,0,0,0,0,0,0,21103300
MY WEEK WITH MARILYN,2012 - 18th Annual,0,1,0,0,0,0,0,0,0,0,0,0,1655420
MYSTIC RIVER,2004 - 10th Annual,1,0,0,1,0,0,0,0,0,0,0,0,327056
NEBRASKA,2014 - 20th Annual,0,0,1,1,0,0,0,0,0,0,0,0,1821549
NELL,1995 - 1st Annual,0,1,0,0,0,0,0,1,0,0,0,0,110638
NIGHTCRAWLER,2015 - 21st Annual,0,0,0,1,0,0,0,0,0,0,0,0,2872718
NINE,2010 - 16th Annual,1,0,1,0,0,0,0,0,0,0,0,0,16491414
NIXON,1996 - 2nd Annual,1,1,0,1,0,0,0,0,0,0,0,0,113987
NO COUNTRY FOR OLD MEN,2008 - 14th Annual,1,0,0,0,0,0,1,0,0,0,0,0,477348
NOBODY'S FOOL,1995 - 1st Annual,0,0,0,1,0,0,0,0,0,0,0,0,110684
NORTH COUNTRY,2006 - 12th Annual,0,1,1,0,0,0,0,0,0,0,0,0,395972
NOTES ON A SCANDAL,2007 - 13th Annual,0,1,1,0,0,0,0,0,0,0,0,0,465551
ONE TRUE THING,1999 - 5th Annual,0,1,0,0,0,0,0,0,0,0,0,0,120776
PHILOMENA,2014 - 20th Annual,0,1,0,0,0,0,0,0,0,0,0,0,2431286
PIECES OF APRIL,2004 - 10th Annual,0,0,1,0,0,0,0,0,0,0,0,0,311648
PIRATES OF THE CARIBBEAN: THE CURSE OF THE BLACK PEARL,2004 - 10th Annual,0,0,0,1,0,0,0,0,0,1,0,0,325980
PRECIOUS,2010 - 16th Annual,1,1,1,0,0,0,0,0,1,0,0,0,929632
PRIMARY COLORS,1999 - 5th Annual,0,0,1,0,0,0,0,0,1,0,0,0,119942
PULP FICTION,1995 - 1st Annual,0,0,1,1,0,0,0,0,0,0,0,0,110912
PURSUIT OF HAPPYNESS,2007 - 13th Annual,0,0,0,1,0,0,0,0,0,0,0,0,454921
QUILLS,2001 - 7th Annual,0,0,1,1,0,0,0,0,0,0,0,0,180073
RABBIT HOLE,2011 - 17th Annual,0,1,0,0,0,0,0,0,0,0,0,0,5822112
RACHEL GETTING MARRIED,2009 - 15th Annual,0,1,0,0,0,0,0,0,0,0,0,0,1084950
RAY,2005 - 11th Annual,1,0,0,1,0,0,0,0,0,1,0,0,2249007
REQUIEM FOR A DREAM,2001 - 7th Annual,0,1,0,0,0,0,0,0,0,0,0,0,180093
REVOLUTIONARY ROAD,2009 - 15th Annual,0,1,0,0,0,0,0,0,0,0,0,0,959337
RUST AND BONE,2013 - 19th Annual,0,1,0,0,0,0,0,0,0,0,0,0,2053425
SAVING MR. BANKS,2014 - 20th Annual,0,1,0,0,0,0,0,0,0,0,0,0,2140373
SAVING PRIVATE RYAN,1999 - 5th Annual,1,0,0,1,0,0,0,0,0,0,0,0,120815
SEABISCUIT,2004 - 10th Annual,1,0,0,0,0,0,0,0,0,0,0,0,329575
SECRETS & LIES,1997 - 3rd Annual,0,1,0,0,0,0,0,0,0,0,0,0,117589
SENSE AND SENSIBILITY,1996 - 2nd Annual,1,1,1,0,0,0,0,0,1,0,0,0,114388
SHAKESPEARE IN LOVE,1999 - 5th Annual,1,1,1,1,0,0,1,1,0,0,0,0,138097
SHE'S SO LOVELY,1998 - 4th Annual,0,1,0,0,0,0,0,0,0,0,0,0,120112
SHINE,1997 - 3rd Annual,1,0,0,1,0,0,0,0,0,1,0,0,117631
SIDEWAYS,2005 - 11th Annual,1,0,1,1,0,0,1,0,0,0,0,0,375063
SILVER LININGS PLAYBOOK,2013 - 19th Annual,1,1,0,1,0,0,0,1,0,0,0,0,1045658
SLING BLADE,1997 - 3rd Annual,1,0,0,1,0,0,0,0,0,0,0,0,117666
SLUMDOG MILLIONAIRE,2009 - 15th Annual,1,0,0,0,0,0,1,0,0,0,0,0,1010048
SMOKE,1996 - 2nd Annual,0,0,1,0,0,0,0,0,0,0,0,0,23640230
SOMETHING'S GOTTA GIVE,2004 - 10th Annual,0,1,0,0,0,0,0,0,0,0,0,0,337741
SPANGLISH,2005 - 11th Annual,0,0,1,0,0,0,0,0,0,0,0,0,371246
SPOTLIGHT,2016 - 22nd Annual,1,0,0,0,0,0,1,0,0,0,0,0,1895587
ST. VINCENT,2015 - 21st Annual,0,0,1,0,0,0,0,0,0,0,0,0,2170593
STILL ALICE,2015 - 21st Annual,0,1,0,0,0,0,0,1,0,0,0,0,3316960
STRAIGHT OUTTA COMPTON,2016 - 22nd Annual,1,0,0,0,0,0,0,0,0,0,0,0,1398426
THE APOSTLE,1998 - 4th Annual,0,0,0,1,0,0,0,0,0,0,0,0,118632
THE ARTIST,2012 - 18th Annual,1,0,1,1,0,0,0,0,0,1,0,0,1655442
THE AVIATOR,2005 - 11th Annual,1,0,1,1,0,0,0,0,1,0,0,0,338751
THE BEST EXOTIC MARIGOLD HOTEL,2013 - 19th Annual,1,0,1,0,0,0,0,0,0,0,0,0,1412386
THE BIG SHORT,2016 - 22nd Annual,1,0,0,0,0,0,0,0,0,0,0,0,1596363
THE BIG SICK,2018 - 24th Annual,1,0,0,0,0,0,0,0,0,0,0,0,5462602
THE BIRDCAGE,1997 - 3rd Annual,1,0,0,0,0,0,1,0,0,0,0,0,115685
THE BLIND SIDE,2010 - 16th Annual,0,1,0,0,0,0,0,1,0,0,0,0,878804
THE BRIDGES OF MADISON COUNTY,1996 - 2nd Annual,0,1,0,0,0,0,0,0,0,0,0,0,112579
THE CIDER HOUSE RULES,2000 - 6th Annual,1,0,0,0,0,0,0,0,0,0,0,0,124315
THE CLIENT,1995 - 1st Annual,0,1,0,0,0,0,0,0,0,0,0,0,109446
THE CONSTANT GARDENER,2006 - 12th Annual,0,0,1,0,0,0,0,0,1,0,0,0,387131
THE CONTENDER,2001 - 7th Annual,0,1,0,0,0,0,0,0,0,0,0,0,208874
THE COOLER,2004 - 10th Annual,0,0,1,0,0,0,0,0,0,0,0,0,318374
THE CROSSING GUARD,1996 - 2nd Annual,0,0,1,0,0,0,0,0,0,0,0,0,112744
THE CURIOUS CASE OF BENJAMIN BUTTON,2009 - 15th Annual,1,0,1,1,0,0,0,0,0,0,0,0,421715
THE DEPARTED,2007 - 13th Annual,1,0,0,0,0,0,0,0,0,0,0,0,407887
